caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2010-003,2010-003-01,2010-003-01-01,2010-003-01-01-01-04,11/30/10,1,,131 S. Ct. 447,178 L. Ed. 2d 460,2010 U.S. LEXIS 9444,2010,1704,Roberts,09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",10/5/10,,5,6,202,,1,,,0,48,,29,,0,12,7,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,NA,110,111,1,8,0,108,CThomas,1,1,1,2,,
2010-003,2010-003-01,2010-003-01-01,2010-003-01-01-01-05,11/30/10,1,,131 S. Ct. 447,178 L. Ed. 2d 460,2010 U.S. LEXIS 9444,2010,1704,Roberts,09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",10/5/10,,5,6,202,,1,,,0,48,,29,,0,12,7,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,NA,110,111,1,8,0,109,RBGinsburg,1,1,1,2,,
2010-003,2010-003-01,2010-003-01-01,2010-003-01-01-01-06,11/30/10,1,,131 S. Ct. 447,178 L. Ed. 2d 460,2010 U.S. LEXIS 9444,2010,1704,Roberts,09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",10/5/10,,5,6,202,,1,,,0,48,,29,,0,12,7,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,NA,110,111,1,8,0,110,SGBreyer,1,2,1,2,,
2010-003,2010-003-01,2010-003-01-01,2010-003-01-01-01-07,11/30/10,1,,131 S. Ct. 447,178 L. Ed. 2d 460,2010 U.S. LEXIS 9444,2010,1704,Roberts,09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",10/5/10,,5,6,202,,1,,,0,48,,29,,0,12,7,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,NA,110,111,1,8,0,112,SAAlito,1,1,1,2,,
2010-003,2010-003-01,2010-003-01-01,2010-003-01-01-01-08,11/30/10,1,,131 S. Ct. 447,178 L. Ed. 2d 460,2010 U.S. LEXIS 9444,2010,1704,Roberts,09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",10/5/10,,5,6,202,,1,,,0,48,,29,,0,12,7,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,NA,110,111,1,8,0,113,SSotomayor,1,1,1,2,,
2010-003,2010-003-01,2010-003-01-01,2010-003-01-01-01-09,11/30/10,1,,131 S. Ct. 447,178 L. Ed. 2d 460,2010 U.S. LEXIS 9444,2010,1704,Roberts,09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",10/5/10,,5,6,202,,1,,,0,48,,29,,0,12,7,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,NA,110,111,1,8,0,114,EKagan,,,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-01,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,111,JGRoberts,8,1,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-02,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,105,AScalia,8,1,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-03,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,106,AMKennedy,8,1,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-04,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,108,CThomas,8,1,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-05,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,109,RBGinsburg,8,1,,,,
2010-004,2010-004-01,2010-004-01-01,2010-004-01-01-01-06,12/13/10,5,,131 S. Ct. 565,178 L. Ed. 2d 470,2010 U.S. LEXIS 9597,2010,1704,Roberts,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,,,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4,110,SGBreyer,8,1,,,,
